iterations,seed,delta,n1,n0,modelspec,dataset,estimator,estimate,se,ci_ll,ci_ul,coverage,corr_se,corr_ci_ll,corr_ci_ul,corr_coverage,lambda,estimate.A0,se.A0,ci_ll.A0,ci_ul.A0,coverage.A0,corr_se.A0,corr_ci_ll.A0,corr_ci_ul.A0,corr_coverage.A0
1,50,0,50,200,1,data/polynomial_dgp.R,trial.standard,4.35105861168946,0.352910349711463,3.659354326255,5.04276289712393,TRUE,0.414281230178381,3.53906740053984,5.16304982283909,TRUE,NaN,0.125171400325412,0.478609883607107,-0.812903971544518,1.06324677219534,TRUE,0.502478929195271,-0.859687300897319,1.11003010154814,TRUE
1,50,0,50,200,1,data/polynomial_dgp.R,r_aware.standard,4.89205313502986,0.239043896772514,4.42352709735573,5.36057917270399,TRUE,0.267388481752264,4.36797171079542,5.4161345592643,TRUE,NaN,-0.415823123014984,0.443763184577147,-1.28559896478619,0.453952718756223,TRUE,0.448313778033753,-1.29451812796114,0.462871881931172,TRUE
1,50,0,50,200,1,data/polynomial_dgp.R,combined.standard,4.81371762644372,0.234845978094211,4.35341950937906,5.27401574350837,TRUE,0.265222061820534,4.29388238527547,5.33355286761197,TRUE,0.855200921254331,-0.236958728937445,0.431919270197703,-1.08352049852494,0.609603040650053,TRUE,0.436320096700536,-1.0921461184705,0.618228660595605,TRUE
