iterations,seed,delta,n1,n0,modelspec,dataset,estimator,estimate,se,ci_ll,ci_ul,coverage
250,20240624,0,100,100,1,data/polynomial_dgp.R,trial,5.00649259903615,0.238365571874061,4.539296078163,5.47368911990931,TRUE
250,20240624,0,100,100,1,data/polynomial_dgp.R,robin,5.00617980684666,0.218750077869725,4.577429654222,5.43492995947132,TRUE
250,20240624,0,100,100,1,data/polynomial_dgp.R,combined,5.00621269391617,0.218701060736973,4.5775586148717,5.43486677296063,TRUE
250,20240624,0,100,100,1,data/polynomial_dgp.R,ipw,5.15036586365586,0.764133210201393,3.65266477166113,6.64806695565059,TRUE
250,20240624,0,100,100,1,data/polynomial_dgp.R,pooling,4.96493261558463,0.181181059945896,4.60981773809067,5.32004749307858,TRUE
250,20240624,0,100,100,1,data/polynomial_dgp.R,test-then-pool,4.96493261558463,0.181181059945896,4.60981773809067,5.32004749307858,TRUE
250,20240624,0,100,100,1,data/polynomial_dgp.R,selective_borrowing,4.98879391313087,0.17185942648855,4.65194943721331,5.32563838904843,TRUE
